Nr;Municipio;CodIBGE;Estado;Area;Desmatado;Incremento;Floresta;Nuvem;NaoFloresta;Hidrografia;
126;Ourilândia do Norte;1505437;PA;14357;1755.0;16.5;9429.0;0.0;3169.4;3.6;
127;Tomé-Açu;1508001;PA;5169;3037.5;16.1;2119.3;11.7;0.1;0.4;
128;Acará;1500206;PA;4361;2437.0;15.8;1809.9;0.3;43.3;70.5;
129;Amajari;1400027;RR;28786;423.0;15.5;20325.0;2662.1;5292.0;83.9;
130;Santa Luzia;2110005;MA;6245;5767.2;14.9;477.8;0.0;0.0;0.0;
131;Monte Negro;1101401;RO;1955;1514.7;14.5;395.6;0.0;44.7;0.0;
132;Campo Novo de Rondônia;1100700;RO;3491;2108.9;14.2;1107.9;0.0;274.2;0.0;
133;Itapuã do Oeste;1101104;RO;4132;1001.4;13.6;2921.0;0.0;2.5;207.1;
134;Itaúba;5104559;MT;4612;1896.5;13.5;2265.0;0.0;418.5;32.0;
135;Acrelândia;1200013;AC;1880;1240.3;13.0;639.7;0.0;0.0;0.0;
136;Santa Helena;2109809;MA;2335;1435.5;12.6;161.5;0.8;629.3;107.9;
137;Alto Alegre dos Parecis;1100379;RO;3994;1358.3;12.6;1703.4;0.9;917.6;13.8;
138;Chupinguaia;1100924;RO;5164;2728.2;12.6;2107.0;0.0;328.4;0.4;
139;Porto Alegre do Norte;5106778;MT;3982;905.8;12.4;630.3;0.0;2445.9;0.0;
140;Bom Jesus das Selvas;2102036;MA;2700;2289.7;12.3;410.3;0.0;0.0;0.0;
141;Borba;1300805;AM;44452;579.5;12.3;41446.8;0.5;586.5;1838.7;
142;Breu Branco;1501782;PA;3953;2852.7;12.2;836.5;0.0;0.9;262.9;
143;Santa Cruz do Xingu;5107743;MT;5627;1441.9;11.9;2498.1;0.0;1621.6;65.4;
144;Jordão;1200328;AC;5635;196.3;11.9;5438.0;0.2;0.1;0.4;
145;Rio Maria;1506161;PA;4122;3432.6;11.8;553.3;0.0;128.6;7.5;
146;Epitaciolândia;1200252;AC;1703;912.8;11.8;786.6;3.5;0.0;0.1;
147;Turilândia;2112456;MA;1529;1215.6;11.7;113.7;3.6;135.6;60.5;
148;Vila Bela da Santíssima Trindade;5105507;MT;13521;4688.7;11.3;2168.9;0.0;6590.5;72.9;
149;Manacapuru;1302504;AM;7381;830.3;10.9;4237.4;84.7;805.6;1423.0;
150;Tefé;1304203;AM;24186;702.3;10.7;22438.4;151.7;168.9;724.7;
151;Barra do Corda;2101608;MA;7962;3283.3;10.6;2174.2;0.0;2499.9;4.6;
152;Nova Santa Helena;5106190;MT;2346;1367.8;10.5;977.1;0.0;1.1;0.0;
153;Itacoatiara;1301902;AM;8927;1814.5;10.3;4617.6;0.0;829.3;1665.6;
154;Viseu;1508308;PA;4971;3503.5;10.1;1323.7;11.1;45.4;87.3;
155;Nova União;1101435;RO;815;734.5;9.8;76.5;0.0;4.0;0.0;
156;Nova Olinda do Maranhão;2107357;MA;2479;1206.8;9.5;1185.2;87.0;0.0;0.0;
157;Curuá;1502855;PA;1430;378.1;9.5;312.2;0.0;272.6;467.1;
158;Presidente Figueiredo;1303536;AM;25568;796.6;9.4;17710.5;3638.0;1.1;3421.8;
159;Juruti;1503903;PA;8308;1230.8;9.3;5316.4;18.5;633.3;1109.0;
160;Água Azul do Norte;1500347;PA;7125;4683.3;9.3;2290.8;23.0;127.9;0.0;
161;Centro Novo do Maranhão;2103174;MA;8329;2381.0;9.2;5340.4;607.3;0.0;0.3;
162;Nova Canaã do Norte;5106216;MT;5975;3075.9;9.2;1802.6;0.0;1059.4;37.1;
163;Bonfim;1400159;RR;8141;422.7;9.0;1454.2;86.7;6134.1;43.3;
164;Plácido de Castro;1200385;AC;1988;1502.2;8.9;485.8;0.0;0.0;0.0;
165;Pimenteiras do Oeste;1101468;RO;6065;1304.9;8.8;2307.9;0.0;2429.1;23.1;
166;Ipixuna;1301803;AM;12595;266.5;8.7;12191.7;0.0;66.6;70.2;
167;Tucuruí;1508100;PA;2095;849.8;8.7;762.4;0.0;4.7;478.1;
168;Ouro Preto do Oeste;1100155;RO;1990;1842.4;8.7;130.5;0.0;15.9;1.2;
169;São José do Rio Claro;5107305;MT;4563;1874.9;8.5;1582.4;0.0;1103.6;2.1;
170;Grajaú;2104800;MA;7625;1523.4;8.5;1339.5;0.0;4762.1;0.0;
171;São João da Baliza;1400506;RR;4305;572.2;8.4;3672.1;54.9;0.4;5.4;
172;Buriticupu;2102325;MA;2568;2012.9;8.2;554.1;0.0;0.0;1.0;
173;Fortuna;2104206;MA;706;343.0;8.2;357.7;0.0;5.3;0.0;
174;Senador Guiomard;1200450;AC;2384;1741.5;8.0;642.5;0.0;0.0;0.0;
175;Gonçalves Dias;2104404;MA;888;626.3;7.9;261.7;0.0;0.0;0.0;
176;Barra do Bugres;5101704;MT;6066;3368.0;7.9;1878.9;0.0;815.7;3.4;
177;Vitória do Xingu;1508357;PA;3136;2011.2;7.8;975.2;0.1;0.1;149.4;
178;Nova Esperança do Piriá;1504950;PA;2829;1584.0;7.8;1233.9;11.1;0.0;0.0;
179;Sinop;5107909;MT;3935;2617.5;7.7;1162.8;0.0;136.3;18.4;
180;Guarantã do Norte;5104104;MT;4713;2478.3;7.6;1510.3;0.0;724.2;0.2;
181;Marajá do Sena;2106359;MA;881;795.7;7.6;85.3;0.0;0.0;0.0;
182;Jutaí;1302306;AM;71756;278.0;7.5;70011.5;207.4;97.6;1161.5;
183;Mirante da Serra;1101302;RO;1205;667.3;7.3;323.4;0.0;214.3;0.0;
184;Vale do Anari;1101757;RO;3166;1304.6;7.2;1831.1;0.0;11.3;19.0;
185;Tabaporã;5107941;MT;8231;2663.0;7.2;3320.6;1.1;2240.1;6.2;
186;Castanheira;5102850;MT;3963;2586.7;7.2;1344.2;0.0;3.4;28.7;
